Emblem;Name;Type;Slot;Potential;Health;Attack;Defence;Magic;Link1;Link2;Link3;Col
ICE;FRIGRID GRIP;ATTACK;GLOVES;314;7485;11894;5777;6218;RING OF ETERNAL WINTER;WHITE WALKER'S VISOR;IRONCLAD HELLHOUND ARMOR;A
DEATH;IRONCLAD HELLHOUND ARMOR;ATTACK;CHEST;313;7485;11759;5777;6218;REAVER'S HOWL;FURIOUS TREMORS;NIGHT FLY'S NOISELESSNESS;A
DEATH;FURIOUS TREMORS;ATTACK;BOOTS;313;7530;11600;5922;6169;HAVOC MEMENTO;IRONCLAD HELLHOUND ARMOR;MIDNIGHT FLYTRAP;A
DEATH;REAVER'S HOWL;MAGIC;TALISMAN;313;5910;6269;7242;11852;IRONCLAD HELLHOUND ARMOR;INFERNAL REAPERS;INSECT NIMBLENESS;M
VENOM;UNDYING WILL;HEALTH;NECKLACE;312;15208;5208;4484;4670;STINGER COIN;FIREFLY'S AURA;DROP OF BLOOD;H
VENOM;FIREFLY'S AURA;MAGIC;RING;312;4494;4664;5202;15222;UNDYING WILL;STINGER COIN;TEMPLAR'S LAST STAND;MCol
VENOM;STINGER COIN;ATTACK;TALISMAN;312;4648;15251;4452;5270;FIREFLY'S AURA;UNDYING WILL;TRANSGRESSOR'S SPIRIT;ACol
DEATH;INFERNAL REAPERS;DEFENCE;GLOVES;312;5994;7264;11747;6138;HOUND LORD'S RING;HELL-FORGER SNOUT;CHITINOUS ASSASSIN'S ARMOR;D
DEATH;HOUND LORD'S RING;DEFENCE;RING;312;6033;7178;11560;6281;INFERNAL REAPERS;FURIOUS TREMORS;NIGHT FLY'S NOISELESSNESS;D
VENOM;MANTIS PURSUER;MAGIC;HELM;311;5988;6300;7114;11681;NIGHT FLY'S NOISELESSNESS;DUSK BUTTERFLY'S GRACE;EQUILIRIUM STAR;M
VENOM;DUSK BUTTERFLY'S GRACE;ATTACK;RING;311;7100;11600;6150;6150;MIDNIGHT FLYTRAP;INSECT NIMBLENESS;EQUILIRIUM STAR;A
VENOM;POISON CENTIPEDE'S VIRULENCE;DEFENCE;TALISMAN;311;6082;7043;11542;6313;CHITINOUS ASSASSIN'S ARMOR;MIDNIGHT FLYTRAP;THE ARBITER;D
VENOM;CHITINOUS ASSASSIN'S ARMOR;DEFENCE;CHEST;310;6076;7178;11446;6281;POISON CENTIPEDE'S VIRULENCE;INSECT NIMBLENESS;PROPHET'S BRACER;D
VENOM;INSECT NIMBLENESS;MAGIC;BOOTS;310;5941;6300;7227;11443;NIGHT FLY'S NOISELESSNESS;CHITINOUS ASSASSIN'S ARMOR;PILGRIM'S PRIDE;M
VENOM;MIDNIGHT FLYTRAP;ATTACK;GLOVES;309;7171;11477;5941;6250;DUSK BUTTERFLY'S GRACE;MANTIS PURSUER;CELESTIAL GUARDIAN ARMOUR;A
VENOM;NIGHT FLY'S NOISELESSNESS;ATTACK;NECKLACE;309;7351;11446;5892;6169;MANTIS PURSUER;POISON CENTIPEDE'S VIRULENCE;INVIOLABLE CORE;A
SACRED;GODDESS' MEMORY;HEALTH;NECKLACE;300;14391;5064;4399;4500;TRANSGRESSOR'S SPIRIT;TEMPLAR'S LAST STAND;UNDYING WILL;H
SACRED;TEMPLAR'S LAST STAND;DEFENCE;RING;300;4457;4962;14310;4457;GODDESS' MEMORY;TRANSGRESSOR'S SPIRIT;STAR OF SKYWEAVER;DCol
SACRED;TRANSGRESSOR'S SPIRIT;ATTACK;TALISMAN;300;4823;14270;4399;4720;TEMPLAR'S LAST STAND;GODDESS' MEMORY;WINDWALKER'S BROOCH;ACol
SACRED;EQUILIRIUM STAR;MAGIC;RING;298;5723;5876;7029;11056;PILGRIM'S PRIDE;PROPHET'S BRACER;CYCLONE HEART;M
SACRED;MASK OF REVELATION;DEFENCE;HELM;297;5615;6914;10945;6124;THE ARBITER;EQUILIRIUM STAR;STORM SHARD;D
SACRED;CELESTIAL GUARDIAN ARMOUR;ATTACK;CHEST;297;7086;11055;5578;5964;INVIOLABLE CORE;PROPHET'S BRACER;ZEPHYR SASHAYS;A
SACRED;PILGRIM'S PRIDE;MAGIC;GLOVES;297;5672;5935;7072;10989;EQUILIRIUM STAR;MASK OF REVELATION;AEOLIAN LIGHTS ARMOR;M
SACRED;PROPHET'S BRACER;ATTACK;BOOTS;297;7229;11100;5429;5871;THE ARBITER;CELESTIAL GUARDIAN ARMOUR;MISTRAL SCRAPE;A
SACRED;THE ARBITER;DEFENCE;NECKLACE;297;5666;7077;10911;5882;MASK OF REVELATION;INVIOLABLE CORE;STORM SHARD;D
SACRED;INVIOLABLE CORE;ATTACK;TALISMAN;296;7057;10867;5553;6078;CELESTIAL GUARDIAN ARMOUR;PILGRIM'S PRIDE;TEMPEST SASH;A
